cat_num,format,parent_species,recordist,year,date_uploaded,asset_restricted,behaviors,age_sex,ml_collection_type,average_community_rating
357763381,audio,Anas platyrhynchos,Berkay Alagöz,2021,7/30/2021,Public,Call,,,3.4
597340591,audio,Anas platyrhynchos,Bert Frenz,2023,7/25/2023,Public,,,,3
120812381,audio,Anas platyrhynchos,Paul Marvin,2018,10/27/2018,Public,Call,Adult Male,,3.33
550129861,audio,Anas platyrhynchos,Rajkumar Manikandan,2023,3/27/2023,Public,Call; Foraging or Eating,Adult Female – 1,,4
489391021,audio,Anas platyrhynchos,James (Jim) Holmes,2022,10/1/2022,Public,,Adult Male – 1,,3.67
149444831,audio,Anas platyrhynchos,V Thompson,2019,4/6/2019,Public,,Female,,2.67
71576381,audio,Anas platyrhynchos,Paul Marvin,2015,10/11/2017,Public,Flight Call,,,3.33
171846371,audio,Anas platyrhynchos,João Tomás,2019,8/10/2019,Public,Call,,,4
553152891,audio,Anas platyrhynchos,Mileta Čeković,2023,4/3/2023,Public,,,,4
504526431,audio,Anas platyrhynchos,Antonio Xeira,2018,11/17/2022,Public,Call,Unknown – 1,,3
487983621,audio,Anas platyrhynchos,Paulo Narciso,2022,9/27/2022,Public,Call; Flight Call,Adult Female – 1,,5
602520211,audio,Anas platyrhynchos,Avery Chan,2023,8/11/2023,Public,Call; Foraging or Eating,Adult – 3,,2
115414711,audio,Anas platyrhynchos,Kenny Frisch,2018,9/18/2018,Public,,,,3.17
425148461,audio,Anas platyrhynchos,A Emmerson,2021,3/14/2022,Public,Call,Adult,,2.8
221739051,audio,Anas platyrhynchos,Vincent  Zollo,2020,4/8/2020,Public,,,,3.71
234095731,audio,Anas platyrhynchos,Richard Murray,2020,5/13/2020,Public,,,,3.67
595643911,audio,Anas platyrhynchos,Larry Joseph,2023,7/19/2023,Public,Call; Foraging or Eating,Immature – 1,,3
225177671,audio,Anas platyrhynchos,Mike Ambrose,2020,4/19/2020,Public,,,,4.33
144652591,audio,Anas platyrhynchos,Pierre Bergeron,2019,3/10/2019,Public,Call,Adult Male,,4
114561861,audio,Anas platyrhynchos,Gavin McKinnon,2018,9/11/2018,Public,,,,3.17
567248671,audio,Anas platyrhynchos,Mark Cloutier,2023,5/5/2023,Public,,,,4
341850241,audio,Anas platyrhynchos,Brian Shulist,2021,5/24/2021,Public,Call; Foraging or Eating,Adult Female – 1,,2.4
252389611,audio,Anas platyrhynchos,Aitor Zabala,2020,7/30/2020,Public,Song,,,3.33
266139061,audio,Anas platyrhynchos,Debbie Jacquez,2020,9/27/2020,Public,,,,3.17
304867811,audio,Anas platyrhynchos,James Remsen,2021,2/6/2021,Public,Call; Foraging or Eating,,,3.4
416328761,audio,Anas platyrhynchos,Kendrick DeBoer,2022,2/14/2022,Public,,,,4.4
552177511,audio,Anas platyrhynchos,James Remsen,2023,4/1/2023,Public,Call; Foraging or Eating; Non-vocal,,,4.5
249899761,audio,Anas platyrhynchos,John M Campbell,2020,7/17/2020,Public,,,,3.33
439652671,audio,Anas platyrhynchos,Luis Mendes,2022,4/24/2022,Public,Call,Adult Female – 1,,4
290945001,audio,Anas platyrhynchos,Justo Yanez,2020,12/25/2020,Public,,,,2.4
166564,audio,Anas platyrhynchos,Charles C. Vandervort,1963,7/20/2016,Public,Call; Flying,,archive,2.5
232864981,audio,Anas platyrhynchos,michelle hussey,2020,5/10/2020,Public,Song,Adult Female – 2; Adult Male – 2; Juvenile – 15,,1.6
236494381,audio,Anas platyrhynchos,Joseph Monkhouse,2020,5/19/2020,Public,,,,2.83
35,audio,Anas platyrhynchos,William V. Ward,1977,6/23/2016,Public,"Call; Courtship, Display, or Copulation",,archive,3.17
36689791,audio,Anas platyrhynchos,David Suddjian,2016,10/4/2016,Public,Call,Female,,4
595811891,audio,Anas platyrhynchos,Andrew W.,2023,7/20/2023,Public,Flying,,,0
432792121,audio,Anas platyrhynchos,Forrest Corcoran,2022,4/7/2022,Public,,,,2.67
166252371,audio,Anas platyrhynchos,Dan Stoker,2019,6/29/2019,Public,,,,2.5
554887881,audio,Anas platyrhynchos,David Martinovský,2023,4/8/2023,Public,,,,3
515610891,audio,Anas platyrhynchos,Greg J,2022,12/22/2022,Public,Call; Duet; Foraging or Eating; Song,Adult – 20,,3
111206901,audio,Anas platyrhynchos,Dioni Loïc Sauvé,2018,8/17/2018,Public,,,,3.17
206612931,audio,Anas platyrhynchos,Guy Babineau,2020,2/1/2020,Public,,,,2.67
55651681,audio,Anas platyrhynchos,David Suddjian,2017,4/24/2017,Public,,,,2.5
424444321,audio,Anas platyrhynchos,David and Regan Goodyear,2022,3/12/2022,Public,,,,3.4
76503531,audio,Anas platyrhynchos,Paul Marvin,2017,11/27/2017,Public,Call,Adult Female,,3.45
287349191,audio,Anas platyrhynchos,Michael S Taylor,2020,12/12/2020,Public,Call,,,4
230612641,audio,Anas platyrhynchos,Conor MacKenzie,2020,5/4/2020,Public,,,,1.2
146903491,audio,Anas platyrhynchos,Nelson Conceição,2019,3/23/2019,Public,Call,,,1.83
102811801,audio,Anas platyrhynchos,Jim Kirker,2018,6/1/2018,Public,Call,,,4.33
435333701,audio,Anas platyrhynchos,George Forsyth,2022,4/14/2022,Public,,Adult Female – 1,,4
409669241,audio,Anas platyrhynchos,Stephen Davies,2022,1/25/2022,Public,Call,,,4.2
311618031,audio,Anas platyrhynchos,Ethan Wells,2021,2/26/2021,Public,Call,,,3
528657391,audio,Anas platyrhynchos,Heather Chenery,2023,1/27/2023,Public,Call,,,4
496800921,audio,Anas platyrhynchos,Carey Purdon,2022,10/23/2022,Public,Call; Song,Adult Female – 1,,3.5
252828941,audio,Anas platyrhynchos,João Tomás,2020,8/1/2020,Public,Call; Flight Call,,,3.83
217876231,audio,Anas platyrhynchos,Shilo McDonald,2020,3/24/2020,Public,Song,Adult Female – 1,,3.71
146951071,audio,Anas platyrhynchos,Kai Frueh,2019,3/23/2019,Public,Call,,,3.17
188451871,audio,Anas platyrhynchos,Farshad Pourmalek,2019,11/17/2019,Public,Non-vocal,,,2.8
341363941,audio,Anas platyrhynchos,Colin Fisher,2021,5/22/2021,Public,,,,4
605730811,audio,Anas platyrhynchos,Erik Bergman,2023,8/21/2023,Public,,,,5
444098961,audio,Anas platyrhynchos,David McCartt,2022,5/4/2022,Public,Call,Adult – 1,,3.4
243142901,audio,Anas platyrhynchos,Linda Grebe 🦅,2020,6/13/2020,Public,,,,3.33
595378541,audio,Anas platyrhynchos,Joel Rostetter,2023,7/18/2023,Public,,,,0
53484141,audio,Anas platyrhynchos,Jay McGowan,2017,4/5/2017,Public,Call; Non-vocal,,,2.17
250535781,audio,Anas platyrhynchos,Miguel Rodríguez Esteban,2020,7/20/2020,Public,,Adult Female – 1,,4
327784021,audio,Anas platyrhynchos,Serge Wolf,2021,4/18/2021,Public,,,,1.4
398206051,audio,Anas platyrhynchos,Justin Lawson,2021,12/22/2021,Public,,,,3
61245951,audio,Anas platyrhynchos,Dave Slager,2017,6/16/2017,Public,,,,2.62
220911761,audio,Anas platyrhynchos,Ashley Banwell,2020,4/5/2020,Public,,,,2.67
297085,audio,Anas platyrhynchos,Peter Boesman,2007,7/15/2020,Public,Call,,archive,3.8
289424261,audio,Anas platyrhynchos,David Lawton,2020,12/19/2020,Public,,,,2.4
88790851,audio,Anas platyrhynchos,Eric Walther,2018,3/7/2018,Public,,,,2.5
539510721,audio,Anas platyrhynchos,Robert Wheat,2023,2/25/2023,Public,Call,Adult Female – 1,,3
315654221,audio,Anas platyrhynchos,Michelle Kienholz,2021,3/11/2021,Public,,,,2.2
203982221,audio,Anas platyrhynchos,Carles  Fabregat,2015,2/3/2020,Public,Call,,,2.67
25989481,audio,Anas platyrhynchos,Jay McGowan,2016,3/21/2016,Public,Call; Flight Call,,,3.83
224868201,audio,Anas platyrhynchos,Conor MacKenzie,2020,4/18/2020,Public,,,,1.8
562627591,audio,Anas platyrhynchos,Stanley Davis,2023,4/25/2023,Public,,,,4.5
207155,audio,Anas platyrhynchos,Bob McGuire,2015,7/20/2016,Public,Call,Adult Female – 1,archive,3.17
581589521,audio,Anas platyrhynchos,Ben Newhouse,2023,6/5/2023,Public,,,,4
186501911,audio,Anas platyrhynchos,Burke Korol,2019,11/7/2019,Public,Flight Call; Flying; Non-vocal,,,2.5
348597261,audio,Anas platyrhynchos,Sally Anderson,2021,6/18/2021,Public,,,,2.6
601998391,audio,Anas platyrhynchos,Nathan Murnaghan,2023,8/9/2023,Public,,,,0
456241431,audio,Anas platyrhynchos,Aimee Lusty,2022,6/3/2022,Public,Call,Adult Female – 1,,3.6
213069961,audio,Anas platyrhynchos,Paul Marvin,2020,3/2/2020,Public,Call; Non-vocal,Adult Female – 1; Adult Male – 2,,3.67
576438471,audio,Anas platyrhynchos,Ethan K,2023,5/23/2023,Public,Call,,,2
375255751,audio,Anas platyrhynchos,Jorge Leitão,2021,10/5/2021,Public,Call,Adult Female – 1,,3.6
510781361,audio,Anser albifrons,Christopher Lindsey,2022,12/6/2022,Public,,,,3
512510451,audio,Anser albifrons,Ian Sherriffs,2022,12/12/2022,Public,,,,3
231266,audio,Anser albifrons,Bob McGuire,2017,4/17/2018,Public,Call,Adult – 1,archive,3.88
418313401,audio,Anser albifrons,Julia Plummer,2022,2/20/2022,Public,Call; Non-vocal,,,2
427331771,audio,Anser albifrons,Tate Putman,2022,3/21/2022,Public,,,,3
516009701,audio,Anser albifrons,Maureen Chambrone,2022,12/23/2022,Public,Call,Unknown – 2,,3
520965951,audio,Anser albifrons,Jarod Hitchings,2023,1/6/2023,Public,,,,1
367443101,audio,Anser albifrons,Kathleen Dvorak,2021,9/7/2021,Public,Flight Call; Flying,,,3
412740051,audio,Anser albifrons,vijay t,2022,2/4/2022,Public,,,,1
603892951,audio,Anser albifrons,Ian Cruickshank,2023,8/16/2023,Public,,,,0
143891781,audio,Anser albifrons,Cole DiFabio,2019,3/5/2019,Public,,,,3
265589121,audio,Anser albifrons,Ryan Merrill,2020,9/25/2020,Public,,,,1.33
561823471,audio,Anser albifrons,Sheridan Hardy,2023,4/23/2023,Public,,,,0
505368861,audio,Anser albifrons,Herb Elliott,2022,11/19/2022,Public,,,,0
317318091,audio,Anser albifrons,Dana Sterner,2021,3/16/2021,Public,,,,4
222581051,audio,Anser albifrons,African Googre,2020,4/11/2020,Public,,Adult – 2000,,2.8
203969941,audio,Anser albifrons,Laurent Demongin,2008,2/3/2020,Public,Call,,,3
218668511,audio,Anser albifrons,Richard Buist,2020,3/28/2020,Public,,,,2.5
214918481,audio,Anser albifrons,Garrett  Wee,2020,3/11/2020,Public,,,,2.5
443161151,audio,Anser albifrons,Jarod Hitchings,2022,5/2/2022,Public,,,,0
432723991,audio,Anser albifrons,Michael Herriot,2022,4/6/2022,Public,,,,0
429283991,audio,Anser albifrons,Andrew  Harrington,2021,3/27/2022,Public,,,,2
63602501,audio,Anser albifrons,Andrew Spencer,2017,7/17/2017,Public,Call,Adult,,1.2
228503491,audio,Anser albifrons,Henry Burton,2020,4/29/2020,Public,,,,3.75
323589121,audio,Anser albifrons,Darren Dewitt,2021,4/6/2021,Public,,,,1
584200201,audio,Anser albifrons,Jerred Seveyka,2023,6/12/2023,Public,Flight Call,,,3
569073331,audio,Anser albifrons,John C Sullivan,2023,5/8/2023,Public,,,,4
485235111,audio,Anser albifrons,Daniel Koehn,2022,9/18/2022,Public,Call,Unknown,,1
335768531,audio,Anser albifrons,Alan  Troyer,2021,5/9/2021,Public,,,,0
302291441,audio,Anser albifrons,Sławomir Karpicki-Ignatowski🦤,2021,1/29/2021,Public,,,,2
267416981,audio,Anser albifrons,Stuart Angerer,2020,10/1/2020,Public,,,,2.33
494290251,audio,Anser albifrons,Tina Tan,2022,10/16/2022,Public,Call,,,3.5
393205091,audio,Anser albifrons,Bemma Watson Hernandez,2021,12/4/2021,Public,,,,3
502089081,audio,Anser albifrons,Nathan Pieplow,2013,11/9/2022,Public,,,,3
83607981,audio,Anser albifrons,Paulett Rinard,2018,1/27/2018,Public,,,,2
105808091,audio,Anser albifrons,Alexandria Horne,2018,6/28/2018,Public,Flight Call,Adult,,2.8
558736801,audio,Anser albifrons,Cole Wolf,2023,4/16/2023,Public,,,,2
411252611,audio,Anser albifrons,David Booth,2022,1/30/2022,Public,,,,0
370699761,audio,Anser albifrons,Tim Rodenkirk,2021,9/19/2021,Public,,,,0
304224681,audio,Anser albifrons,David Darrell-Lambert,2021,2/4/2021,Public,,,,4
395728001,audio,Anser albifrons,Robert Furrow NFC Station,2021,12/13/2021,Public,,,,0
196818881,audio,Anser albifrons,Randy Winstead,2019,1/2/2020,Public,,,,3.4
289851361,audio,Anser albifrons,Lorenzo Cocco,2020,12/21/2020,Public,,,,3
607385001,audio,Anser albifrons,Elliott Bury,2021,8/26/2023,Public,,,,0
395974831,audio,Anser albifrons,Radovan Václav,2021,12/14/2021,Public,Flight Call,,,0
294382681,audio,Anser albifrons,Christoph Moning,2021,1/4/2021,Public,,,,2
423371631,audio,Anser albifrons,Andrew Birch,2022,3/8/2022,Public,Call,,,0
181488131,audio,Anser albifrons,Milosz Cousens,2019,10/11/2019,Public,,,,3.83
153643901,audio,Anser albifrons,Courtney Kelly Jett,2019,4/24/2019,Public,Flight Call,,,2.5
495869521,audio,Anser albifrons,Ashley Hopkins,2022,10/21/2022,Public,Call; Flight Call,,,0
509850881,audio,Anser albifrons,Daniel Jauvin,2022,12/4/2022,Public,Call,Adult – 1,,2
535810241,audio,Anser albifrons,Eric Bauder,2023,2/16/2023,Public,,,,4
382661511,audio,Anser albifrons,Paweł Malczyk,2021,10/25/2021,Public,,,,0
498726691,audio,Anser albifrons,Matt Sadowski,2022,10/29/2022,Public,,,,0
364433081,audio,Anser albifrons,Michele Swartout,2021,8/27/2021,Public,,,,2
3468,audio,Anser albifrons,Arthur A. Allen,1956,7/20/2016,Public,Call; Flying,,archive,2.67
60891,audio,Anser albifrons,William W. H. Gunn,1961,7/20/2016,Public,Call; Flying,,archive,2
278614301,audio,Anser albifrons,David Booth,2020,11/9/2020,Public,,,,3.33
460810971,audio,Anser albifrons,Eric Gustafson,2022,6/19/2022,Public,,,,3
267369361,audio,Anser albifrons,Team Ona,2020,10/1/2020,Public,,,,4.33
200083961,audio,Anser albifrons,Don Roberson,2020,1/18/2020,Public,Flight Call,,,2
147068671,audio,Anser albifrons,Liz Harper,2019,3/24/2019,Public,,,,3
293083541,audio,Anser albifrons,David Crexcrex,2021,1/1/2021,Public,,,,3
95701701,audio,Anser albifrons,Isaac  Denzer,2018,4/21/2018,Public,Flight Call,,,2.8
116264881,audio,Anser albifrons,Paul Marvin,2017,9/25/2018,Public,,,,4.2
128243391,audio,Anser albifrons,Lisa Hoffman,2018,12/12/2018,Public,Flight Call,Adult,,2.75
272136691,audio,Anser albifrons,Peter Boesman,2020,10/18/2020,Public,Flight Call; Flying,,,3.67
425652291,audio,Anser albifrons,Davida Kalina,2022,3/16/2022,Public,,,,1
117357271,audio,Anser albifrons,Janine McCabe,2018,10/4/2018,Public,Call,,,2.4
225135561,audio,Anser albifrons,Barbara Peck,2020,4/19/2020,Public,Flying,,,2.5
387483881,audio,Anser albifrons,Chris Ortega,2021,11/12/2021,Public,Flight Call,Adult – 5,,2
310925061,audio,Anser albifrons,Tiffany Blasingame,2021,2/23/2021,Public,,,,4
451077541,audio,Anser albifrons,W. Douglas Robinson,2022,5/20/2022,Public,,,,0
370632731,audio,Anser albifrons,Richard Niemeyer,2021,9/18/2021,Public,,,,2
411296571,audio,Anser albifrons,David Booth,2022,1/30/2022,Public,,,,0
371935911,audio,Anser albifrons,Bill Hubick,2021,9/23/2021,Public,,,,0
288109411,audio,Anser albifrons,Pete Fenner,2020,12/14/2020,Public,,,,1.5
529130381,audio,Anser albifrons,M Kelly,2023,1/28/2023,Public,,,,4
409141651,audio,Anser albifrons,Hugh Cotter NFC Station - Inner Richmond SF,2021,1/24/2022,Public,,,,0
370764951,audio,Anser albifrons,Becky Kent,2021,9/19/2021,Public,,,,0
290478111,audio,Anser albifrons,Karthik Thrikkadeeri,2020,12/23/2020,Public,Call,,,2
395476391,audio,Anser albifrons,Robert Furrow NFC Station,2021,12/12/2021,Public,,,,0
213323121,audio,Anser albifrons,Lisa Maier,2020,3/4/2020,Public,,,,2.75
115855641,audio,Anser albifrons,Donna Pomeroy,2018,9/22/2018,Public,,,,4
324638341,audio,Anser albifrons,Paul Fenwick,2021,4/9/2021,Public,Call; Foraging or Eating,Adult – 2; Immature – 1,,3
529713481,audio,Anser albifrons,Michael Morin,2023,1/29/2023,Public,,,,0
386960571,audio,Anser albifrons,Nancy Salem,2021,11/10/2021,Public,,,,0
231258,audio,Anser albifrons,Bob McGuire,2017,4/17/2018,Public,Call,,archive,2.17
140056351,audio,Anser albifrons,Dan J. MacNeal,2019,2/10/2019,Public,Call; Flight Call,,,3
559838441,audio,Anser albifrons,Peter Nichols,2023,4/19/2023,Public,,,,3
